persistence_tau_times_r,resource_equilibrium_over_K,resource_variance_per_unit_environment_variance,modified_variance,variance_change_percent,cv2_change_percent,consumer_variance_change_percent,resource_mean,modified_resource_mean,consumer_mean,modified_consumer_mean
12.271252398511898,0.22426666666666667,0.06107670660734377,0.06463316161108355,5.822931852897528,-14.283425199153,10.770904859986551,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
12.91549665014884,0.22426666666666667,0.058536469627940055,0.061989789356584946,5.899432867397558,-14.22145937740794,10.963532387835407,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
13.593563908785255,0.22426666666666667,0.05607183339605257,0.0594210815041434,5.973138214393781,-14.16175804634101,11.15062031897327,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
14.307229891937572,0.22426666666666667,0.05368401867355123,0.05692872233435731,6.04407743864499,-14.104297274697519,11.332147642571266,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
15.058363542798407,0.22426666666666667,0.051373737100817836,0.05451384874252693,6.112289700760565,-14.049045342383915,11.508112972648066,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
15.848931924611133,0.22426666666666667,0.04914124864340179,0.05217710768214312,6.177822343854822,-13.99596390147757,11.6785327769926,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
16.68100537200059,0.22426666666666667,0.04698641556258774,0.04991871069692935,6.240729579458315,-13.945009040638745,11.843439676973787,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
17.556762912750013,0.22426666666666667,0.04490875269355905,0.04773848521711048,6.301071291960603,-13.896132253511894,12.002880825449402,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
18.478497974222908,0.22426666666666667,0.04290747392954649,0.04563592242043629,6.358911958718139,-13.849281313438267,12.156916367575077,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
19.448624389373624,0.22426666666666667,0.040981534902567666,0.043610221561531715,6.414319681323977,-13.804401058127569,12.305617987337335,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
20.46968271807521,0.22426666666666667,0.0391296719236868,0.0416603307564376,6.467365322372887,-13.761434088877921,12.449067541040627,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
21.544346900318832,0.22426666666666667,0.03735043730082141,0.0397849842749865,6.51812174127222,-13.720321389569467,12.587355777711107,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
22.67543125870802,0.22426666666666667,0.035642231192551006,0.037982736444189084,6.566663122165117,-13.681002871046232,12.720581145381193,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
23.865897868585808,0.22426666666666667,0.034003330184526614,0.036251992303294026,6.613064386824896,-13.643417846671813,12.848848681452951,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
